0,254,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0
117,149,112,104,104,89,81,84,80,55,0,0,0,0,0,0,0,0,0,0,0,0,196
0,0,240,206,244,0,0,169,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
0,0,248,178,220,0,0,101,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0
0,0,135,113,168,102,0,244,0,147,0,0,0,0,0,169,0,0,0,0,0,0,0
0,0,0,0,0,0,247,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0
0,0,0,187,139,0,196,0,226,0,0,0,0,0,169,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171,0,216,0,0,0,0,0,0,169,0,0,0,0,0,0
97,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0
137,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0
125,55,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0
133,92,39,45,37,0,52,0,26,0,0,0,0,0,0,0,0,0,0,0,196,0,0
65,18,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0
