0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,169,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,169,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,169,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,169,0,0,0,0
0,0,0,0,0,0,0,0,201,0,0,241,0,0,0,0,0,0,0,169,0,0,0
0,0,0,0,0,0,0,0,0,0,0,143,232,0,0,0,0,0,0,0,169,0,0
100,134,121,130,58,118,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,196
0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0
