0,0,0,0,0,0,243,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,245,0,107,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,247,0,150,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,232,0,92,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,137,0,164,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,121,0,248,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,106,244,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0
104,155,131,52,99,87,132,78,0,67,54,26,25,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0
31,59,138,152,0,159,143,114,0,105,35,81,47,37,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0
21,84,127,130,34,153,159,140,0,133,88,111,92,76,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0
0,0,85,144,0,156,131,133,0,129,57,120,85,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0
0,0,0,0,0,0,149,192,0,189,151,155,154,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0
0,0,0,0,0,0,0,0,170,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0
0,0,0,0,0,0,0,90,0,112,159,147,190,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
140,35,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0
0,0,100,159,0,154,108,93,0,86,0,70,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0
